Lat,Long,Date
33.6412382,-84.4359216,5/25/2015 0:00
32.8994353,-79.9833809,5/26/2015 0:00
32.8994353,-79.9833809,5/27/2015 0:00
32.79762617,-80.00744932,5/27/2015 1:00
32.8994277,-79.9833823,5/29/2015 0:00
32.81602526,-80.03559983,5/30/2015 0:00
32.8161903,-80.0357229,5/31/2015 0:00
32.8163794,-80.0356826,5/31/2015 1:00
32.81626907,-80.03574259,5/31/2015 2:00
32.8994544,-79.9834786,6/1/2015 0:00
32.8994284,-79.9834567,6/2/2015 0:00
32.81633113,-80.03571824,6/2/2015 1:00
43.4770094,-96.7377798,6/3/2015 0:00
43.47681796,-96.73790576,6/4/2015 0:00
43.6951314,-98.01615141,6/4/2015 1:00
42.81788793,-100.535272,6/5/2015 0:00
42.81770084,-100.5356769,6/6/2015 0:00
42.81817192,-100.5356492,6/6/2015 1:00
42.81783421,-100.5350473,6/6/2015 2:00
43.47725714,-96.73778886,6/8/2015 0:00
43.47728966,-96.73782648,6/8/2015 1:00
43.47716848,-96.73782356,6/9/2015 0:00
43.47707272,-96.73780382,6/9/2015 1:00
43.47717645,-96.73769427,6/10/2015 0:00
43.4770636,-96.7378257,6/11/2015 0:00
44.30945465,-96.75646246,6/12/2015 0:00
44.3104048,-96.7616843,6/13/2015 0:00
44.2995998,-96.6851959,6/14/2015 0:00
32.8995104,-79.9834588,6/14/2015 1:00
32.8995104,-79.9834588,6/14/2015 2:00
32.8993892,-79.9833456,6/16/2015 0:00
32.8995239,-79.9834077,6/17/2015 0:00
32.8993749,-79.9833502,6/18/2015 0:00
32.8994093,-79.9834305,6/19/2015 0:00
32.8994093,-79.9834305,6/19/2015 1:00
32.75946064,-79.97493748,6/20/2015 0:00
32.8162401,-80.0357733,6/21/2015 0:00
32.81629604,-80.03588236,6/21/2015 1:00
32.8161965,-80.0356985,6/22/2015 0:00
32.8993696,-79.9833116,6/23/2015 0:00
32.8993692,-79.9832268,6/23/2015 1:00
39.2066206,-76.6908482,6/24/2015 0:00
39.1769887,-76.6697118,6/26/2015 0:00
32.8434661,-80.0203071,6/27/2015 0:00
32.81635693,-80.03583356,6/27/2015 1:00
32.8162781,-80.0357065,6/28/2015 0:00
32.8162276,-80.0357085,6/28/2015 1:00
32.8994091,-79.9834209,6/29/2015 0:00
32.8994091,-79.9834209,6/29/2015 1:00
32.8994742,-79.983416,6/29/2015 2:00
32.81645811,-80.03580739,6/29/2015 3:00
32.8162656,-80.0357127,6/30/2015 0:00
32.81621794,-80.03573093,7/1/2015 0:00
32.8995004,-79.9834409,7/1/2015 1:00
32.8162876,-80.0357254,7/1/2015 2:00
32.81626481,-80.03572803,7/2/2015 0:00
32.8994612,-79.9834237,7/2/2015 1:00
32.899516,-79.9834768,7/3/2015 0:00
32.8163162,-80.0356906,7/5/2015 0:00
32.8994766,-79.9834023,7/6/2015 0:00
32.8993975,-79.983249,7/7/2015 0:00
32.8994352,-79.9833609,7/8/2015 0:00
32.8994242,-79.9833603,7/9/2015 0:00
32.8995235,-79.9834363,7/9/2015 1:00
32.8994615,-79.9834018,7/9/2015 2:00
32.899591,-79.983514,7/10/2015 0:00
32.8993993,-79.9832958,7/10/2015 1:00
32.8162297,-80.0358378,7/11/2015 0:00
32.7819467,-79.9858803,7/11/2015 1:00
32.8162157,-80.0357379,7/12/2015 0:00
32.8993963,-79.9833559,7/13/2015 0:00
32.8994308,-79.9834184,7/14/2015 0:00
32.8162469,-80.0357084,7/14/2015 1:00
32.8993988,-79.9833249,7/15/2015 0:00
32.8994072,-79.9833754,7/16/2015 0:00
32.8995256,-79.9834203,7/16/2015 1:00
32.8162338,-80.0356942,7/18/2015 0:00
32.8994183,-79.9832997,7/21/2015 0:00
32.8993588,-79.9833339,7/21/2015 1:00
32.7821361,-79.986164,7/21/2015 2:00
32.8161621,-80.0358116,7/22/2015 0:00
32.8161533,-80.0358405,7/22/2015 1:00
